Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.213101152723723,2.38846234318636,0.797300514608274,0,0,0,6.28339377848197,0.202791769289639,2.25777225403882E-08,-6.21302360981662E-10,0.0461014447332229,6.77357743328597E-18,0.19227279401554,0,0,0,0,0,0,package://hardware/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hardware/meshes/base_link.STL,,밑판-3;모터-1;모터가드-1;윗판-1;판-3;판-2;판-1;옆면-2;옆면-1;앞면-2;휠고정-2;모터가드-2;휠고정-1;모터-2;카메라-1;뒷면-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_Link,1.77635683940025E-15,0.0205000000000003,1.11022302462516E-16,0,0,0,0.822293027521207,0.00143414756441595,3.84409869682573E-19,1.0842021724855E-19,0.00263791603228804,-3.03196945361245E-19,0.00143414756441595,0,0,0,0,0,0,package://hardware/meshes/left_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hardware/meshes/left_Link.STL,,바퀴-1,Origin_left_wheel,Axis_left_wheel,left_wheel,continuous,0.20231,-0.96934,2.0813,3.1416,-1.1415,0,base_link,0,1,0,1,10,,,,,,,,,,
right_Link,-8.88178419700125E-15,-0.0205000000000001,-3.71924713249427E-15,0,0,0,0.822293027521207,0.00143414756441595,2.10629578231261E-22,-1.35525271560688E-20,0.00263791603228803,1.83392419905648E-20,0.00143414756441595,0,0,0,0,0,0,package://hardware/meshes/right_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hardware/meshes/right_Link.STL,,바퀴-2,Origin_right_wheel,Axis_right_wheel,right_wheel,continuous,0.20231,-0.58434,2.0813,-3.1416,-1.4969,3.1416,base_link,0,1,0,1,10,,,,,,,,,,
lidar_Link,0,0,-0.0205000000000002,0,0,0,0.166931667241147,7.74702045721622E-05,-2.0150684343852E-36,-5.43948289683133E-21,7.74702045721621E-05,8.74214482911838E-20,0.000108171720372263,0,0,0,0,0,0,package://hardware/meshes/lidar_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hardware/meshes/lidar_Link.STL,,라이다-1,Origin_lidarjoint,Axis_lidarjoint,lidarjoint,continuous,0.20231,-0.79734,2.8613,3.1416,0,0,base_link,0,0,1,,,,,,,,,,,,
